Area,Device,Flow,Check,Expected,Priority,Status,Blocks Launch,Evidence
Navigation,Desktop,Header,Main links render,Nuevo/Artistas/Colecciones/Prendas/Historias/Para creadores,P1,TODO,YES,
Home,Desktop,Hero,Hero has one campaign and two CTAs,No autoplay; CTAs valid,P1,TODO,YES,
Home,Desktop,Products,Raíz/Ola block uses real Shopify resources,No unavailable fake cards at launch,P1,TODO,YES,
PLP,Desktop,Prendas,Grid renders product availability,Cards lead to correct PDP,P1,TODO,YES,
PDP,Desktop,Variant,Choose S/M/L/XL,Variant id + price + URL update,P1,TODO,YES,
PDP,Desktop,Cart,Add selected variant,Drawer opens with correct line,P1,TODO,YES,
Cart,Desktop,Remove,Remove line from drawer,Cart count/total update,P1,TODO,YES,
Cart,Desktop,Full cart,/cart renders and updates quantity,No broken route,P1,TODO,YES,
Archive,Desktop,Provenance,Ola shows source only when artwork reference exists,Source metadata correct,P1,TODO,YES,
Artist,Desktop,Index,/pages/artistas lists active artist metaobjects,No draft entries,P2,TODO,YES,
Search,Desktop,Search,Search form/result grid works,Product result uses product card,P2,TODO,YES,
Collections,Desktop,Index,/collections renders published collections,No frontpage placeholder,P2,TODO,YES,
Navigation,Mobile,Header,Main links render,Nuevo/Artistas/Colecciones/Prendas/Historias/Para creadores,P1,TODO,YES,
Home,Mobile,Hero,Hero has one campaign and two CTAs,No autoplay; CTAs valid,P1,TODO,YES,
Home,Mobile,Products,Raíz/Ola block uses real Shopify resources,No unavailable fake cards at launch,P1,TODO,YES,
PLP,Mobile,Prendas,Grid renders product availability,Cards lead to correct PDP,P1,TODO,YES,
PDP,Mobile,Variant,Choose S/M/L/XL,Variant id + price + URL update,P1,TODO,YES,
PDP,Mobile,Cart,Add selected variant,Drawer opens with correct line,P1,TODO,YES,
Cart,Mobile,Remove,Remove line from drawer,Cart count/total update,P1,TODO,YES,
Cart,Mobile,Full cart,/cart renders and updates quantity,No broken route,P1,TODO,YES,
Archive,Mobile,Provenance,Ola shows source only when artwork reference exists,Source metadata correct,P1,TODO,YES,
Artist,Mobile,Index,/pages/artistas lists active artist metaobjects,No draft entries,P2,TODO,YES,
Search,Mobile,Search,Search form/result grid works,Product result uses product card,P2,TODO,YES,
Collections,Mobile,Index,/collections renders published collections,No frontpage placeholder,P2,TODO,YES,
Checkout,All,Handoff,Finalizar compra reaches Shopify checkout,No custom checkout interception,P1,TODO,YES,
Truth,All,Product facts,No unvalidated GSM/fit/technique/care claims,Product Ready gates respected,P1,TODO,YES,
Inventory,All,Availability,Unavailable variants cannot be added,Shopify inventory is truth,P1,TODO,YES,
SEO,All,Metadata,Title/description/canonical render,Prepared SEO mapped,P2,TODO,YES,
Performance,Mobile,Media,Images have responsive sizes/lazy loading,Hero eager; below-fold lazy,P2,TODO,YES,
Accessibility,All,Keyboard,"Skip link, buttons, forms usable",No inaccessible critical flow,P2,TODO,YES,
Navigation,Mobile,Menu,Open mobile menu and reach every primary route,No desktop-only navigation gap,P1,TODO,YES,
PDP,All,Size selection,No variant selected on clean PDP URL,CTA says Elegir talla; cart submit blocked until explicit selection,P1,TODO,YES,
PDP,All,Deep link,Open ?variant=<id>,Variant is selected and CTA reflects availability,P1,TODO,YES,
PDP,Mobile,Sticky CTA,Scroll PDP before and after size selection,Sticky bar changes Elegir talla → Agregar,P1,TODO,YES,
PDP,All,Unavailable size,Sold-out option rendering,Unavailable size disabled and visually distinct,P1,TODO,YES,
Cart,All,Checkout,Click Finalizar compra in drawer,"Native Shopify checkout handoff, not /cart",P1,TODO,YES,
Cart,All,Quantity,Increase/decrease drawer line quantity,Line/total/count update without page reload,P1,TODO,YES,
Accessibility,All,Drawer focus,"Open cart, Tab cycle, Escape close",Focus remains in drawer and returns to trigger,P1,TODO,YES,
Performance,All,PDP media,Inspect first vs below-fold image loading,First image eager/high priority; remaining lazy,P2,TODO,NO,
PLP,All,Filters,Configure native filters and apply/remove values,collection.filters render and URLs work,P2,TODO,NO,
